Gene,YoungVeh8,YoungVeh1,YoungVeh3,YoungVeh5,YoungVeh6,YoungVeh7,YoungVeh9,YoungVeh10,YoungVeh11,YoungVeh13,YoungVeh14,YoungVeh15,YoungVeh16,YoungVeh17,YoungVeh18,YoungVeh19,YoungVeh20,YoungVeh12,YoungVeh2,YoungVeh4,AgingVeh9,AgingVeh1,AgingVeh2,AgingVeh3,AgingVeh4,AgingVeh5,AgingVeh6,AgingVeh7,AgingVeh8,AgingIMP1,AgingIMP2,AgingIMP3,AgingIMP11,AgingIMP12,AgingIMP8,AgingIMP4,AgingIMP13,AgingIMP10,AgingIMP6,AgingIMP9,AgingIMP7,AgingIMP5
Efhc1,-1.14510564,-1.026316778,-0.985328412,0.87998805,0.596933645,0.601465345,-1.026492869,0.664409668,0.738736104,-0.878542902,-1.037523164,-0.764202252,1.099864803,-1.074324721,0.30248619,-0.339884963,0.620131718,-1.074688569,-1.082952815,-1.14510564,-0.762660089,-0.195023698,0.716445829,0.717984347,1.549585859,0.077972011,2.68295919,0.546133402,0.743056349,1.205741784,0.364952917,0.627590976,0.068011751,0.101359664,-1.14510564,0.59754249,1.717185829,-0.874088129,0.744161019,4.469170698,1.731400709,2.523456489
Otop3,-1.019452615,-1.019452615,-1.019452615,0.253751192,0.618564402,1.041466221,-1.019452615,0.803671918,-0.777562563,-1.019452615,0.518186878,0.652138756,0.244022206,-1.019452615,0.154790696,-1.019452615,1.804318286,-1.019452615,-1.019452615,-1.019452615,-1.019452615,0.892120418,1.031052497,0.943361647,1.472401033,-0.46877424,1.707887516,-0.746273839,1.068855743,0.585586023,1.079570625,2.250710424,1.95255139,1.055018328,0.24986467,0.499362922,0.88346609,-1.019452615,0.205004818,0.871223227,0.785206181,2.969653662
Chmp5,-0.123796762,-0.956261201,0.343948892,0.559866067,0.098153063,-0.956261201,-0.956261201,0.324053506,0.534990281,0.122650638,-0.150702154,-0.038092697,1.664058115,-0.956261201,0.134858234,-0.207568582,-0.367461879,0.56204546,-0.956261201,4.248818126,-0.230107699,-0.717525931,-0.148271869,-0.329726926,-0.339841256,-0.227954519,-0.312291782,-0.148137061,-0.470657257,-0.331033813,-0.727879171,-0.467766379,-0.666066795,-0.577698403,-0.062256997,-0.334231753,0.399396093,0.116022587,-0.05188054,-0.219064693,-0.351165112,-0.519472663
Spata7,-0.95538505,-0.95538505,-0.703080344,0.737418804,1.047109443,0.621388452,-0.95538505,0.070159188,0.522376467,-0.880851586,-0.905182614,-0.505945692,-0.339565411,-0.95538505,-0.469822245,-0.58234245,0.467158412,-0.842724335,-0.95538505,-0.95538505,-0.95538505,0.0044072,1.052040406,1.101795128,1.752900387,0.140126494,2.758685865,0.118508804,1.523134981,0.200589696,0.916504387,1.171003153,0.815040011,0.814385459,-0.95538505,1.023266275,0.060096533,-0.914874355,0.427972531,0.497486014,1.162406696,3.348341728
Dnah12,-0.922881892,-0.922881892,-0.922881892,0.816413279,0.823119199,0.537155674,-0.922881892,0.588464492,0.356389793,-0.922881892,-0.922881892,-0.635997124,-0.289882417,-0.922881892,0.102176373,-0.278221203,0.561275989,-0.915143445,-0.922881892,-0.922881892,-0.922881892,-0.834783164,1.187976362,0.524145402,2.328373826,0.136359504,2.347113657,0.407486016,1.46639671,-0.305063255,0.219161212,0.963904148,0.241987586,0.439965766,-0.913958688,0.538037549,0.485043721,-0.922881892,0.220864594,0.961145666,2.188901189,3.40890619
Ric1,-0.984245253,-0.921753407,-0.871692218,1.24444986,1.141982223,-0.984245253,-0.952945109,1.220828627,0.753618539,-0.912345126,-0.956119512,-0.725467057,0.389664761,-0.950244687,0.035509708,-0.280872127,1.014990531,-0.963715898,-0.975169278,-0.977359009,-0.762005901,-0.271143448,1.610069189,1.687898622,1.181218634,-0.376501152,1.713841767,-0.017505108,0.889257081,1.375844104,0.698440066,1.287377981,0.548395295,0.074956259,-0.956897287,0.960364646,1.510035018,-0.915465048,0.24755081,3.418669559,1.410776548,2.3734981
Srrm3,-1.01195276,-0.918568422,-0.884701226,1.213986022,1.039333689,0.410832561,-0.915444332,0.533804983,0.528378007,-0.7887394,-0.883830567,-0.718491941,-0.094084471,-0.968561286,-0.255481707,-0.506599747,0.258200478,-0.956511837,-0.953672044,-0.994940425,-0.896396555,-0.074081443,1.15569483,0.749530548,1.739641393,-0.102368093,2.799229248,0.269594525,1.226199973,0.419038098,0.394727326,1.056044091,0.23994137,-0.23857609,-0.982064761,0.687204912,0.249155517,-0.858254802,0.342650477,1.258462501,1.806723766,2.966040447
Nlrp10,-0.872640747,-0.872640747,-0.872640747,0.209393448,0.627496704,0.558566249,-0.872640747,0.569619798,0.607958318,-0.872640747,-0.872640747,-0.872640747,0.213934202,-0.872640747,-0.872640747,-0.42654663,1.259804179,-0.872640747,-0.872640747,-0.872640747,-0.872640747,0.303464911,1.1647113,1.244108747,1.955520392,-0.872640747,1.767428031,0.132043891,2.029466912,0.734927488,1.341446721,1.789100268,1.847937913,0.884994832,-0.872640747,1.011741514,0.649563349,-0.872640747,0.129696655,1.181771992,1.675247706,3.366936176
Dhrs1,-0.81068871,-0.81068871,0.731382826,1.189072561,0.779621932,-0.81068871,-0.81068871,-0.81068871,0.454186767,-0.81068871,-0.81068871,0.093065979,-0.81068871,-0.81068871,-0.81068871,-0.81068871,-0.81068871,0.402654507,0.31813733,-0.81068871,-0.81068871,-0.81068871,1.05576653,-0.81068871,0.966056096,1.483252116,2.106672376,1.778232275,1.612918064,-0.81068871,-0.419422484,-0.81068871,-0.81068871,-0.81068871,1.978917204,-0.81068871,1.710938775,1.284360541,1.883330332,-0.81068871,-0.81068871,0.349862628
Arhgap29,-0.632384491,-0.718648585,-0.407441917,-0.219621195,-0.770483831,-0.869564096,-0.664197553,-0.439118773,0.037817613,-0.296968665,-0.678322153,-0.197817617,0.571324257,-0.782270419,-0.282297099,-0.626242381,-0.711261322,0.035297278,-0.643668084,1.605283621,0.408178151,-1.379682461,-0.701647585,-0.131645418,0.894699317,1.26314011,2.900607081,1.933602827,1.503333392,-0.978509059,-0.833284143,-0.630900175,-1.162385189,-0.911851026,0.098756094,-0.751511608,-0.050072365,1.639099009,4.373211972,-0.041535401,1.792013628,1.043978219
Ambp,-0.710037467,-0.697737903,-0.730156085,-0.510005744,-0.522960536,-0.553051098,-0.712764464,-0.655928122,-0.462355073,-0.62631806,-0.424851075,-0.06241019,-0.896115957,-0.442149092,-0.136475907,-0.723316753,-0.570080784,-0.247446555,-0.66692347,-0.898218926,1.555122896,0.240461116,0.039200059,-0.035190151,1.85630309,2.040715429,1.359996022,2.071348894,2.121345905,-0.270023837,-0.431110062,-0.259540191,-0.618361721,0.062139277,0.089683811,-0.43459213,-0.090616192,1.728808218,1.511590801,0.137340721,3.170565494,2.197171376
Znf704,-0.609367996,-0.643837585,-0.657585529,-0.508795988,0.004568926,-0.744811467,-0.671001039,-0.251847585,-0.418736245,-0.419312462,-0.659351116,-0.122708518,-0.739809461,-0.655901202,-0.255245787,-0.48155866,-0.414045249,-0.417886695,-0.515666266,-0.689876575,0.186727334,0.147522424,-0.548407205,0.14883738,1.518238954,1.586239933,1.926318702,1.635499088,3.271799887,-0.315578649,-0.44961556,-0.181120657,-0.919635667,-0.568390111,-0.404884878,-0.620781522,-0.241918925,1.345255692,2.23065725,-0.486648575,3.424770694,1.526003107
Arsb,-1.439821419,-0.584370719,-0.402232891,-0.078722968,-0.48395468,-0.567164639,-0.432008438,-0.441878953,-0.390868132,-0.491436024,-0.507002079,-0.296631542,0.526300114,-0.40539348,-0.575974201,-0.678279304,-0.653221356,-0.339132461,-0.435027297,0.009666228,-0.159323062,-0.458510011,-0.358869441,0.098743828,1.001404948,1.088508446,2.979638362,1.837311017,2.638250153,0.961902641,-0.530004935,-0.466706082,-1.206109898,-1.199586246,0.22000032,-0.476963319,0.190745126,1.269397021,2.280643929,2.88654169,3.300435159,1.386790345
Cpb2,-0.254870343,-0.575398381,-0.597367191,-0.412206476,-0.498847906,-0.48886138,-0.502131624,-0.327030923,-0.278776895,-0.630834817,-0.773736514,0.064617271,-0.760017611,-0.65716258,-0.016241875,-0.318796487,-0.520909543,-0.684445677,-0.606402251,-0.932399285,0.984715916,-0.551584654,0.289967758,0.033536045,1.115078373,1.887839014,2.854041219,2.754756119,0.4034707,-0.777925285,-0.315547578,0.041611904,-0.797995031,0.055783334,0.68173972,-0.117507262,0.287929455,0.368521726,2.23872114,0.169232127,2.424450414,2.439844052
Itih3,-0.669655307,-0.516423668,-0.536935549,-0.708625037,-0.725823242,-0.557073601,-0.502766688,-0.612863644,-0.46375226,-0.411832575,-0.470156128,-0.274992563,-0.643854951,-0.416080827,-0.507098238,-0.456003417,-0.319476284,-0.504383908,-0.50611084,-0.80097117,0.121842051,0.055190626,-0.071811973,0.062472181,1.892395738,1.953346258,1.912712578,2.258098858,2.420633578,-0.236616084,-0.193798343,-0.152772548,-0.535397564,-0.455668189,0.157487947,-0.423630564,-0.205972194,0.985634852,1.610418316,1.016536766,3.568189652,3.033247255
Serpina7,-0.961219742,-0.514987449,-0.598603638,-0.961219742,-0.269265376,-0.901569207,-0.189127499,-0.279700314,-0.545303532,-0.686802254,-0.664860216,-0.655954528,-0.694264784,-0.289013388,0.115024725,-0.460456309,-0.420769462,-0.615739587,-0.538900738,-0.294728329,0.31874433,-0.526191006,0.532679648,2.064601726,1.815492758,1.762488206,2.661479843,1.652831268,0.145334596,-0.106105082,0.013746269,-0.096887863,-0.130895271,0.451149203,-0.048373433,0.113302876,-0.592486636,2.131381071,2.443861188,1.0941356,1.81847493,1.620906054
Serpina3n,-0.571604048,-0.505172545,-0.284055792,-0.421276684,-0.549479903,-0.448867876,-0.523017562,-0.43281458,-0.188031358,-0.206723012,-0.677939083,-0.362615869,-0.411989925,-0.587204491,-0.227377027,-0.537023176,-0.55320117,-0.208751004,-0.564693124,-0.051729297,1.785080109,-0.787411269,-0.416931925,-0.230074453,0.255875734,0.883069981,1.545875505,3.82294293,1.455140914,-0.598282972,-0.489020804,-0.55856977,-0.887380115,-0.5600399,0.77787036,-0.512739777,0.243773413,0.512367492,1.39746456,0.155565608,1.405478082,0.715068241
Apcs,-0.819277345,-0.479465089,-0.611813162,-0.525279038,-0.479341216,-0.645042071,-0.510376836,-0.654216122,-0.568927101,-0.458568222,-0.514641043,-0.222182505,-0.256191058,-0.401932345,-0.500898735,-0.405134254,-0.432603856,-0.431237508,-0.483928242,-0.027327763,0.571718251,-0.505887407,-0.443016629,0.044645745,0.982853875,1.703189553,2.384467947,3.262354063,1.42805811,-0.554156278,-0.49094016,-0.348930054,-0.642230171,-0.450561573,0.341458579,-0.487535551,-0.351940524,1.206540813,1.794873758,1.078824809,2.186985613,1.599433438
Agt,-0.296524424,-0.472907571,0.315895283,-0.634817138,0.246953426,-0.419949076,-0.572161199,-0.164389494,-0.18156326,0.072428472,-0.545827123,-0.541863946,-1.529072436,-0.990443308,-0.352850894,-0.577793846,-0.20924743,-0.515137907,-0.647969659,-0.949025932,1.17877906,-0.292183802,-0.629199008,-0.289599752,1.780630296,2.476436406,2.541821566,0.642008124,1.557574571,-0.507676101,-0.543199522,-0.303318442,-0.69128878,0.490942854,-1.270914287,-0.401381665,-0.402804343,1.786756525,4.489047959,0.067739438,3.747338679,1.28227169
Hpx,-0.487189332,-0.469236994,-0.444756532,-0.339490545,-0.505141671,-0.54267838,-0.521461979,-0.457812778,-0.363971007,-0.52309401,-0.451284655,-0.192607773,-0.298689775,-0.501061594,-0.404771777,-0.489637379,-0.573686965,-0.461892855,-0.455364732,-0.594903365,-0.282369467,-0.388451469,-0.404771777,0.166439003,1.161977792,1.251739486,2.68792659,1.66790734,3.2183366,-0.102234067,-0.448929634,-0.278011945,-0.859197697,-0.72306348,-0.047716078,-0.461419566,-0.125841393,0.959361168,1.96091399,0.776932765,2.560187539,1.647498795
Itih4,-0.654640333,-0.457568663,-0.476048492,-0.466808578,-0.586927467,-0.559207723,-0.476048492,-0.466808578,-0.392889261,-0.457568663,-0.666079347,-0.152651482,-0.263530457,-0.328209859,-0.245050628,-0.365169517,-0.374409432,-0.577687552,-0.559207723,-0.53148798,0.13378587,-0.494528321,-0.272770371,-0.355929603,1.048537414,1.455093655,2.074167932,3.284596742,2.185046907,-0.24266673,-0.444327865,-0.544303741,-0.746559927,-0.636369326,0.788590897,-0.582917344,-0.046124507,1.022711853,1.734277674,1.175983556,1.462457867,1.917080144
Hp,-0.433629083,-0.436966749,-0.437916624,-0.440200506,-0.43282297,-0.441083129,-0.440874443,-0.441083129,-0.44095247,-0.436541049,-0.441083129,-0.423330914,-0.435612327,-0.438778256,-0.441083129,-0.434806266,-0.432539515,-0.436889789,-0.440688212,-0.437715303,-0.333174061,-0.441083129,-0.441083129,-0.320477953,1.991221594,1.279837847,3.356450697,1.954606254,1.698298875,-0.38447006,-0.335508027,0.023909718,-0.422885044,-0.386719288,0.203451469,-0.243259863,-0.339808238,0.940528723,2.519920949,0.446797018,1.907100466,1.737189596
Cp,-0.552836575,-0.431563801,-0.348405328,-0.52858202,-0.507792402,-0.348405328,-0.421168992,-0.441958611,-0.462748229,-0.393449501,-0.563231384,-0.2791066,-0.497397593,-0.223667618,-0.143974081,-0.313755964,-0.282571537,-0.597880748,-0.500862529,-0.719153522,0.216379304,0.126290957,-0.033096117,0.185194876,0.691075589,0.635636607,1.650862969,0.628706734,4.457461445,-0.303080495,-0.058833664,0.027931808,-0.258895626,-0.154195643,-0.040964987,-0.143707281,-0.261352266,0.546428354,0.960301146,-0.44007715,1.745247836,0.85958584
Lats1,-2.811530965,-0.418921114,0.114204333,0.62272882,1.411938275,0.421392888,0.150925024,0.940676727,0.287495551,0.795002133,1.43348552,0.362126074,-0.893968888,0.774425227,0.9047266,0.979328584,1.09970776,0.298587863,0.281340554,-1.234672208,-0.743737503,-1.984635236,0.171226048,-0.810139166,0.12112038,-0.054663278,-0.141451584,-0.827110594,-1.249607826,-1.399572843,-0.11544268,-0.051495405,0.351338182,1.3340828,-0.04306677,-0.62194087,-0.969037015,-0.475942829,-0.621988436,-0.949830001,-0.180055875,0.139994435
Csmd1,-0.489819019,-0.405451048,-0.450095842,-0.495733306,-0.662848671,-0.489623025,-0.37574895,-0.376384114,-0.374651023,-0.478761715,-0.569299853,-0.181875019,-0.412276343,-0.298777921,-0.155775209,-0.365123558,-0.407989891,-0.300327722,-0.286239777,-0.337504798,-0.305298337,-0.682197591,-0.473252118,0.126546261,0.827279512,1.180467174,1.965621023,1.234782798,4.040358083,-0.70388936,-0.468063733,-0.245231754,-0.74470502,-0.708148591,-0.002860305,-0.53510805,-0.329401916,1.656459322,2.010354739,-0.482835841,2.775038149,1.628076551
Pigz,-1.29185973,-0.398717905,-0.413607908,0.10506121,-0.23168004,-0.480332017,-0.465663457,-0.295800141,-0.180903941,-0.485806584,-0.382244994,-0.171554118,-0.154589111,-0.613279936,-0.59283745,-0.621169874,-0.734323234,-0.350943591,-0.440693689,-0.502841305,-0.67136776,-0.358390643,-0.266413812,0.255273495,1.305549754,1.077356666,3.270197676,1.865460613,2.226121826,0.134098971,-0.546982311,-0.235666017,-1.072918046,-1.25682783,0.14096781,-0.420066667,-0.148971015,0.508563476,1.635176117,1.25649189,3.015784077,1.522227797
C4b,-0.514005531,-0.391366964,-0.380218003,-0.257579436,-0.625495138,-0.547452413,-0.547452413,-0.480558649,-0.357920082,-0.625495138,-0.67009098,0.455954046,-0.246430475,-0.458260728,-0.246430475,-0.313324239,-0.558601374,-0.692388902,-0.302175279,-0.792729548,-0.045749183,-0.681239941,-0.079196065,-0.224132554,2.016808539,2.797235785,2.284383594,2.317830476,0.166081069,-0.445595508,-0.459754689,-0.084391481,-1.24570067,-0.928055632,0.235996201,-0.522121974,0.584880627,1.639405071,2.32272487,1.112672425,2.686838776,2.694977518
Frem2,-1.078794643,-0.390136797,-0.767577985,-0.505306442,-0.457157454,-0.201822064,-0.515210169,-0.61838333,-0.65538513,-0.5174518,-0.322552542,0.362803825,-0.641234214,-0.317015813,-0.513994357,-0.528697529,-0.522838237,-0.789429989,-0.2765431,-0.826633834,-0.391925423,0.264638533,0.084903958,0.13428081,1.657760487,1.339359551,1.966938267,2.509516488,2.517888931,-0.298597857,-0.175464113,0.317070865,-0.34558562,-0.592631512,0.487241997,-0.189890802,-0.3658397,0.024779755,0.283226631,0.34783835,2.793300459,2.49102764
Rnase4,-0.984155247,-0.387678588,-0.782449392,-0.291091282,-0.054574804,-0.064444561,-0.984155247,-0.385205512,-0.375518187,-0.481009797,-0.245909728,-0.176028159,-0.516853516,-0.361976224,-0.661503362,-0.387027779,-0.370973794,-0.492029489,-0.322249172,-0.691576911,-0.478867763,-0.052705393,0.058851558,0.275156044,1.229171053,0.750984917,2.617045408,1.134388589,3.482386339,-0.323549766,-0.161785167,-0.04408806,-0.089048236,-0.31813831,0.100113906,-0.189989304,-0.346352696,0.198954961,0.969964384,1.016002751,2.931698998,1.51503529
Ntn5,-2.601042265,-0.378554153,-0.861512292,-0.790914896,-0.202617984,-0.226433707,-0.384403242,-0.082888245,-0.230726717,-0.01799647,-0.51579805,0.666037883,-0.862108237,0.295227741,0.081195244,0.438320726,0.826909891,-1.078083073,0.028387906,-1.639381475,-0.816551562,0.771685666,0.710998613,0.539609282,1.826684665,1.888894688,0.661126856,1.936172981,0.017760223,-0.024353215,0.131552585,0.756897404,1.057518484,1.538909508,0.848441158,-0.147018534,-0.067548182,1.120611388,0.952930159,-1.316516201,3.502834797,3.142895131
Cfh,-0.425487767,-0.365782226,-0.518363054,-0.418853818,-0.54489885,-0.631140188,-0.352514328,-0.518363054,-0.584702545,-0.505095156,-0.631140188,0.105228157,-0.637774137,-0.299442735,-0.312710633,-0.471925411,-0.491827258,-0.743917322,-0.339246429,-1.015909233,0.363952171,-0.425487767,-0.246371143,-0.319344582,2.360770837,2.20155606,2.234725805,2.121948671,1.412116122,-0.371567029,-0.299900478,0.399384093,-0.815683383,-0.405771671,0.444189785,-0.087149731,-0.178485942,1.467197801,2.150116419,0.468343993,3.420955504,2.972845513
Cables1,-1.222206083,-0.361825723,-0.507961656,-0.480044398,0.051939639,0.468557443,0.147672229,-0.70373954,-0.420482115,-0.988744833,0.476004639,-0.380631282,-0.681627204,-0.987543,-0.882251323,-1.059176409,-0.165344802,-0.768545427,-0.461555623,-0.902283724,-0.390394611,0.485452574,0.42847319,1.391704047,0.941023659,1.224350553,1.220057301,1.264976674,3.264145804,0.161933053,0.558187779,0.326755056,0.607469875,1.377990648,0.959308191,0.550726689,-0.569339887,0.29792496,0.102658376,0.236332761,1.638378512,3.193786477
Cd5l,-0.667264486,-0.360491098,-0.435396267,-0.345933985,-0.667264486,-0.329822356,-0.282240462,-0.667264486,-0.472676205,-0.45689323,-0.37989411,-0.237095037,-0.411617453,-0.364251194,-0.48118513,-0.281269756,-0.287684038,-0.558460207,-0.536789211,-0.532968099,-0.667264486,0.042175496,0.153265787,0.077779581,1.967728971,0.798777891,1.922570373,0.619918502,3.841509184,-0.218347944,-0.193710056,0.718861108,-0.025402234,-0.04763624,0.01723877,-0.174554574,-0.221038185,0.699273662,1.002050518,0.865416811,4.968082044,2.259737932
Pla2g7,-0.5556487,-0.355610428,-0.235841058,-0.335314576,-0.415286123,-0.352858496,-0.546380214,-0.307208959,-0.335766219,-0.349739078,-0.599455199,-0.146025953,-0.306810616,-0.313125193,-0.300728874,-0.377533314,-0.486819533,-0.478678751,-0.259508798,-0.491692221,-0.287594779,-0.267817895,-0.2781692,-0.369664639,0.978526941,1.007423634,2.306835039,0.322318711,4.138174492,-0.077527803,-0.498733353,-0.386263196,-0.418478477,-0.46686592,-0.168902618,-0.190483266,-0.323008025,1.307171063,0.805393647,1.686626348,4.598316658,1.389322276
Orm1,-0.754043099,-0.341880275,-0.319966854,-0.474411335,-0.458409172,-0.829739657,-0.354595906,-0.495797883,-0.455263997,-0.371526522,-0.508304692,-0.154821068,-0.513698716,-0.355720331,-0.262916784,-0.396270279,-0.253172845,-0.51729366,-0.383018137,-0.447524746,-0.151370692,-0.969605496,-0.03367882,0.182464422,0.813989232,1.098722349,2.141449083,2.131836862,3.434569018,-0.785559424,0.00032698,-0.349953641,-0.472284567,-0.321524985,0.260245662,-0.212266293,0.046556877,0.659303804,2.009522,-0.042128064,2.651905535,2.110935423
Ruvbl1,0.249531679,-0.318858192,-1.099456527,0.061608431,0.173389378,0.384341427,-1.135948345,0.02337076,-0.14509898,-0.652640312,-0.556048644,-0.40798909,-0.337697861,-1.118707273,-0.079796834,-0.189729731,0.401486505,-1.103248622,-1.096136892,-0.806681542,-1.08609734,-0.268405755,0.824712973,0.979821893,1.187188855,0.409606827,1.669148072,0.572718525,3.465616616,-0.01313967,0.623745622,0.957694262,0.595394695,0.603270134,-1.122664909,0.703133439,0.328664818,-1.05365099,0.517309655,0.623556245,1.938310454,2.126889989
Pld1,-2.583050058,-0.303931863,-0.674222505,-0.177198213,-0.237928862,-0.229655982,-0.316002551,-0.389215388,-0.601318293,-0.420892371,0.2793747,0.251799865,-1.126148889,0.160060922,-0.350787222,-0.159923755,0.178068366,-0.570772937,-0.304261921,-1.388364866,0.099175961,0.487161134,0.136455355,-0.223359164,2.174927068,1.53380894,0.883393467,1.612152677,2.260656386,0.038170979,0.829195392,0.837373969,0.379647996,0.604918924,-0.042067376,-0.209861083,-0.27204913,0.743843283,0.573674875,-0.323653893,2.578369237,2.773789217
