Gene,AgingVeh1,AgingVeh2,AgingVeh3,AgingVeh4,AgingVeh5,AgingVeh6,AgingVeh7,AgingVeh8,AgingVeh9,YoungVeh1,YoungVeh2,YoungVeh3,YoungVeh4,YoungVeh5,YoungVeh6,YoungVeh7,YoungVeh8,YoungVeh9,YoungVeh10,YoungVeh11,YoungVeh12,YoungVeh13,YoungVeh14,YoungVeh15,YoungVeh16,YoungVeh17,YoungVeh18,YoungVeh19,YoungVeh20
Saa4,0.71281099,0.629571122,0.809712978,0.210591746,0.560953333,1.932195565,3.623602949,0.763043666,0.677960679,0.348871759,0.344455952,-0.750976558,-0.322975882,-0.729935817,0.014714261,-0.644857438,-1.353847769,-0.74223019,-0.67727176,-0.642551236,-0.781616878,-0.601673925,-0.894375066,-0.171433091,-0.758371306,-0.41668313,-0.175595469,-0.570668054,-0.393421431
Sbno2,1.754542447,1.116819176,-0.066372141,1.881849836,1.246480677,1.204662758,1.086994251,1.823553135,-1.392330131,-0.089950329,-0.213587529,-1.046720598,-1.594765192,-0.1588498,-0.111192943,0.115024206,0.465063918,-0.148154348,-0.329142896,-1.094674036,-0.883675199,-0.948904481,0.550831433,0.266317583,-1.345989352,0.025920156,-0.723910728,-0.568576436,-0.821263438
Serpina3n,-0.787411269,-0.416931925,-0.230074453,0.255875734,0.883069981,1.545875505,3.82294293,1.455140914,1.785080109,-0.505172545,-0.564693124,-0.284055792,-0.051729297,-0.421276684,-0.549479903,-0.448867876,-0.571604048,-0.523017562,-0.43281458,-0.188031358,-0.208751004,-0.206723012,-0.677939083,-0.362615869,-0.411989925,-0.587204491,-0.227377027,-0.537023176,-0.55320117
Serpina7,-0.526191006,0.532679648,2.064601726,1.815492758,1.762488206,2.661479843,1.652831268,0.145334596,0.31874433,-0.514987449,-0.538900738,-0.598603638,-0.294728329,-0.961219742,-0.269265376,-0.901569207,-0.961219742,-0.189127499,-0.279700314,-0.545303532,-0.615739587,-0.686802254,-0.664860216,-0.655954528,-0.694264784,-0.289013388,0.115024725,-0.460456309,-0.420769462
Sorbs3,-0.414711639,0.519430834,0.40213379,-0.815618291,-0.828102599,-0.326587112,-0.495080309,-1.482104992,-1.74021394,-2.580559244,0.415397431,2.237679275,-0.481576874,1.741102059,0.300191097,0.525178411,0.642572871,0.861760153,0.97665925,-0.079868409,0.590222706,0.852857777,-0.243018682,0.238084287,0.942083861,-0.338202164,-0.522416897,-0.3597612,-0.537531453
Spata7,0.0044072,1.052040406,1.101795128,1.752900387,0.140126494,2.758685865,0.118508804,1.523134981,-0.95538505,-0.95538505,-0.95538505,-0.703080344,-0.95538505,0.737418804,1.047109443,0.621388452,-0.95538505,-0.95538505,0.070159188,0.522376467,-0.842724335,-0.880851586,-0.905182614,-0.505945692,-0.339565411,-0.95538505,-0.469822245,-0.58234245,0.467158412
Srrm3,-0.074081443,1.15569483,0.749530548,1.739641393,-0.102368093,2.799229248,0.269594525,1.226199973,-0.896396555,-0.918568422,-0.953672044,-0.884701226,-0.994940425,1.213986022,1.039333689,0.410832561,-1.01195276,-0.915444332,0.533804983,0.528378007,-0.956511837,-0.7887394,-0.883830567,-0.718491941,-0.094084471,-0.968561286,-0.255481707,-0.506599747,0.258200478
Tirap,-1.011774732,-0.285625324,0.810877618,0.394700802,1.725993003,0.957821336,1.723089911,3.043777387,-0.653732336,-0.298211578,-0.314239347,-0.407573757,-0.864424243,-1.011774732,-1.011774732,-0.693870959,-1.011774732,-0.300834488,-0.277071329,-0.474755021,-1.011774732,-0.270208554,-1.011774732,0.047968649,-0.076491296,0.124600153,0.279880135,0.444475328,1.434502304
Vill,0.139366538,-0.327303463,0.566836259,1.065095834,0.953205595,1.709910359,1.060627115,4.12762093,-0.469261134,-0.206141532,-0.303116329,-0.491270474,-0.553349155,-0.476095343,-0.408892292,-0.416451574,-0.440762125,-0.535754539,-0.521880427,-0.516300956,-0.557910436,-0.540773491,-0.359978076,-0.096315954,-0.636552688,-0.496639108,-0.443441299,-0.448059146,-0.376413088
Vsnl1,-0.738060446,-0.454691373,-0.473770713,-0.491572649,-0.191062527,-0.599404784,-0.503711499,-1.389733186,0.414621295,-0.251236011,-0.178965712,0.167122315,4.054366294,0.641754188,0.136247412,-0.183883838,-1.676955492,-0.130571443,-0.13023049,0.369234883,0.161641384,0.040722269,-0.271662816,0.339924626,1.838710741,-0.203035572,0.384222791,-0.296045606,-0.383974042
Wdr53,1.341108323,0.362399236,0.732098544,0.690749756,0.642248505,0.588666405,0.570291893,3.996875773,-0.460379312,-0.053386077,-0.244475112,-0.550857707,-1.086585434,-0.566836611,-0.421347587,-0.151066024,-1.84487401,-0.221849377,-0.414563303,-0.661139143,-0.786938034,-0.673627724,-0.181791665,-0.041781122,-0.658797534,0.203754003,-0.225010795,-0.027441835,0.144555969
Wdr64,-0.816390119,-0.623606954,-0.616080743,-0.779124658,-0.731069084,-0.627145418,-0.715750911,-1.055336294,-0.097485778,-0.254339583,-0.028454892,0.573216166,3.622227088,0.367691593,0.124447872,-0.663086524,-0.505011141,-0.09386656,-0.120695754,0.93362563,2.227029736,1.054652852,0.641254519,-0.280121919,0.597133834,-0.639060205,-0.320156485,-0.485123798,-0.689372468
Zfyve28,0.352646467,0.538989784,0.810354443,1.058454236,1.304446328,0.943893007,0.801458817,2.876335391,0.635503312,0.153392472,-0.132974539,-0.228598505,-0.517986823,-0.477475664,-0.805924593,-0.156680178,-2.850211434,-0.130722583,0.018395346,-0.751108306,-1.544381711,-0.715565875,-0.696123725,-0.161320329,-0.634832064,0.103833421,0.314050672,-0.07618679,-0.031660578
Znf704,0.147522424,-0.548407205,0.14883738,1.518238954,1.586239933,1.926318702,1.635499088,3.271799887,0.186727334,-0.643837585,-0.515666266,-0.657585529,-0.689876575,-0.508795988,0.004568926,-0.744811467,-0.609367996,-0.671001039,-0.251847585,-0.418736245,-0.417886695,-0.419312462,-0.659351116,-0.122708518,-0.739809461,-0.655901202,-0.255245787,-0.48155866,-0.414045249
Znrd1-as,-0.185339818,-0.044503562,0.240714863,1.010562159,1.174861318,2.24380092,1.855602192,3.484152274,-0.29540416,-0.278456807,-0.331620408,-0.451377605,-0.546620585,-0.455156278,-0.330239423,-0.645815293,-0.645815293,-0.477922631,-0.38281377,-0.484570569,-0.561522418,-0.417672396,-0.645815293,-0.492302701,-0.348992613,-0.645815293,-0.380374548,-0.645815293,-0.315726966
